Nombre,Segundo Nombre,Apellido Paterno,Apellido Materno,Estado,Municipio,Colonia,Calle,Numero Ext.,Numero Int.,Codigo Postal,CURP,Clave Elector,Fecha de Nacimiento,Seccion,Vigencia Ano Inicio,Vigencia Ano Final,Ano Registro,Mes Registro
GRACIELA,,QUINTANILLA,MARIN,DGO,VIEJA ISLANDIA,LOS BAJOS NORTE,AMPLIACION ZACATECAS,S/N,,57868,SDKR856985HLHMGP67,MOJMZH32564625UBYC,24/12/1950,5529,2021,2031,2002,10
JULIO,CESAR,LEMUS,BERRIOS,BC,VIEJA MALI,DE LA MONTANA NORTE,PRIVADA MALAWI,5858-21,,80342,QEXH003990HERHDV20,QIFRVQ95863452CAJY,17/07/1999,4121,2027,2037,2015,12
CARLOS,,SALDANA,VENEGAS,COL,VIEJA PALAU,DE LA MONTANA SUR,ANDADOR SUR ROCHA,9354,INT 430,63256,SYCD712871MSBREMZ4,OTVBRP41957234EJZD,19/11/1967,7109,2020,2030,2020,12
FRANCISCO,,VIGIL,RIOJAS,TLAX,NUEVA SENEGAL,DE LA MONTANA NORTE,PASAJE SUR ALTAMIRANO,8721B,,57750,MRDS288889HGBDCFK7,SGDGNJ984790005FIG,13/05/1953,4907,2022,2032,2014,08
MARIA,LUISA,LEDESMA,ROSAS,TAMPS,VIEJA UZBEKISTAN,LOS ALTOS NORTE,PRIVADA HIDALGO KM,41.9,,67624,XVKC918704HCSJHBB9,YPKLYG24124276MOOI,29/09/1995,9117,2025,2035,2018,06
ROBERTO,,SALAZAR,MATOS,VER,SAN LUISA LOS BAJOS,LOS BAJOS NORTE,VIADUCTO TLAXCALA,9301-29,,82355,CSLW696675HJFAFG10,IDFAXV733590720WDD,04/07/2002,3008,2020,2030,2006,08
JAQUELINE,,LUNA,RESENDEZ,TAMPS,SAN IVAN LOS ALTOS,DE LA MONTANA NORTE,CERRADA AZERBAIYAN,S/N,,16167,LQSO465865MBHPQQM1,VDWJII54041922PGC9,21/07/1997,9977,2028,2038,2011,10
ARMANDO,,GURULE,ESCALANTE,QRO,VIEJA SERBIA,LOS BAJOS SUR,EJE VIAL MEDRANO MZ 28 LT,65,,32661,PDKU536874MJELJI90,XFLZGA20337743FVJR,28/07/1978,1052,2020,2030,2006,07
MICAELA,,MONTOYA,PRIETO,SLP,VIEJA SAMOA,LOS ALTOS SUR,CONTINUACION ZAVALA,7361-16,DEPTO H,90932,TEVG062720MBHMVWI2,KJNXPD20678383WEDO,02/04/1994,9817,2029,2039,2004,08
ESTELA,,CAMARILLO,VALENZUELA,TAB,SAN ADAN LOS ALTOS,DE LA MONTANA NORTE,CIRCUNVALACION NORTE ROBLEDO,7012,,60376,SPEW091869HWXUYKP1,PPOKKW603875428FOW,18/05/2000,8110,2028,2038,2018,08
ITZEL,,LINARES,TIJERINA,NL,NUEVA CHAD,LOS BAJOS NORTE,PEATONAL FINLANDIA,7469-38,,40543,SXAY825923HCMMIK55,HLKRJZ18339368NE5M,22/02/1979,1146,2021,2031,2003,04
RAMON,,PICHARDO,ZAYAS,MOR,VIEJA PAISES BAJOS,LOS ALTOS NORTE,RETORNO NORTE OJEDA,S/N,EDIFICIO 18 DEPTO 23,53023,YEWS032605MYRKUA62,UTRYGD124828551Y2B,07/05/1967,7358,2026,2036,2020,01
HELENA,,OLVERA,COTTO,SIN,NUEVA SUECIA,DE LA MONTANA NORTE,CONTINUACION NINO,2900-43,,88257,JPBL507363HSNVFHN6,HMOKZP13866541FP3U,25/01/2003,7760,2024,2034,2009,08
MARISOL,,PICHARDO,RIVAS,BCS,SAN MARIANA LOS BAJOS,LOS ALTOS NORTE,PEATONAL SUR VAZQUEZ KM,29.2,,74221,YMBQ951170HKYFZYT8,ABOJIV72575253PQI3,14/01/1999,8158,2030,2040,2023,07
TIMOTEO,,PALOMINO,OSORIO,DGO,SAN ELOY DE LA MONTANA,LOS ALTOS NORTE,DIAGONAL NORTE COLLADO,4856,DEPTO B,28518,HDNP271960MBBUJCN8,BFELGB43954360FVCY,28/08/1958,1528,2027,2037,2009,04
ESMERALDA,,AMADOR,PACHECO,ZAC,NUEVA SERBIA,LOS ALTOS NORTE,CIRCUITO MONACO,6075,,79191,JLJQ240534HWMLOUB8,QVSRVT7481067866BE,17/02/1942,0540,2026,2036,2007,08
MARGARITA,,RAEL,RIVERA,BC,VIEJA REPUBLICA DE MACEDONIA DEL NORTE,DE LA MONTANA SUR,CIRCUITO SUR OROZCO,9657D,,54260,MOXX493080HAERWKD5,KRSZST8353659981TR,14/04/1958,5551,2022,2032,2008,02
HECTOR,,ESQUIBEL,AGUAYO,Q.ROO,SAN GUILLERMO LOS ALTOS,LOS ALTOS NORTE,VIADUCTO YEMEN,S/N,,80335,KZTA599305HXECACZ5,VKTAKE985075606I1P,06/06/1969,1961,2020,2030,2009,10
AURORA,,HIDALGO,MARROQUIN,GTO,SAN MARIANA LOS BAJOS,LOS BAJOS SUR,CORREDOR HIDALGO KM,38.9,,16038,JVHA008730MFDBVMJ9,NPVYCK14051577D7BR,26/06/1953,1188,2021,2031,2001,05
MARIA,EUGENIA,CERVANTES,ALTAMIRANO,TAB,SAN OLGA DE LA MONTANA,LOS BAJOS NORTE,CIRCUNVALACION SAINT KITTS Y NEVIS MZ 61 LT,5,,21337,CEGD340634MDPKVOO8,HMCMHP17173195GIB6,19/06/1985,0908,2026,2036,2008,01
ANA,LUISA,PALOMO,MAYA,TLAX,SAN ANTONIA LOS BAJOS,LOS BAJOS NORTE,VIADUCTO CORTES MZ 19 LT,27,,30537,NICK985623HCGXKTF3,HQTWEB431485569U6M,08/01/1990,1792,2024,2034,2001,09
DULCE,MARIA,HENRIQUEZ,GALVAN,SIN,SAN GONZALO DE LA MONTANA,DE LA MONTANA NORTE,ANDADOR YUCATAN,2956D,,50244,TFPV098779HMHABQG8,IURZLB99525941D0CV,24/04/1975,6151,2027,2037,2015,05
INDIRA,,LEON,RIOJAS,TAB,SAN MODESTO DE LA MONTANA,DE LA MONTANA NORTE,BOULEVARD JALISCO,3804,B,95452,SSVL638665MZWVJZW4,WVNCKT675889905C9Q,16/12/2004,5869,2028,2038,2011,12
MAYTE,,TELLEZ,MALDONADO,SON,VIEJA MONGOLIA,LOS BAJOS SUR,CALLE NORTE CERVANTES,9651-55,DEPTO 463,84242,ZFXG384037MQBDDZK2,YCYHKS136177170832,20/02/2001,5235,2024,2034,2010,12
NAYELI,,ESCOBEDO,NIETO,HGO,NUEVA INDONESIA,LOS ALTOS NORTE,CALLEJON GAMEZ KM,62.0,PISO 13,27648,AUGG478560HHPXNGL9,JLVBFB98206511BFRS,15/01/1965,5526,2029,2039,2005,06
SILVIA,,MARRERO,ROLON,PUE,VIEJA AZERBAIYAN,LOS ALTOS NORTE,AMPLIACION BERNAL KM,32.2,,72490,SPYN345825HXDKJCQ1,SIPPQR36230285QZLQ,18/10/1994,9626,2021,2031,2023,02
ESPERANZA,,AVILA,JASSO,PUE,VIEJA OMAN,DE LA MONTANA SUR,CORREDOR SUR DEL VALLE KM,75.4,,12155,TMPH135384HSFQEJT1,QXHYCB88314066HN33,28/12/1956,7375,2028,2038,2023,02
MARIA,DEL CARMEN,REYES,BARRAZA,CHIH,VIEJA PARAGUAY,DE LA MONTANA NORTE,AMPLIACION SUR ALONZO,870-49,EDIFICIO 19 DEPTO 63,77552,QLQU087074MKYPREN5,KLNQDA20545655GIYO,01/08/1983,1446,2024,2034,2016,05
ALMA,,HUERTA,TAFOYA,SON,VIEJA MEXICO,LOS BAJOS NORTE,CALZADA SANDOVAL KM,30.7,,77535,GJRC638894MFTOBM09,JQNLYJ14627273K3BA,26/07/1992,5689,2020,2030,2015,01
JOSE,MARIA,TIRADO,SOLORZANO,TAB,SAN MITZY LOS BAJOS,LOS ALTOS SUR,EJE VIAL PUEBLA,835J,E,42862,MWTG288563HKZKOP45,SZNAZD623312763P7O,05/10/1965,7621,2024,2034,2014,09
CRISTINA,,ALEMAN,ARMAS,NL,NUEVA FILIPINAS,LOS ALTOS NORTE,ANDADOR CONTRERAS MZ 21 LT,52,,26214,IYHM279262MUKHGIY4,WGDVTA31356990XMOQ,19/05/1985,4418,2023,2033,2002,12
FERNANDO,,RINCON,ARENAS,ZAC,VIEJA CAMBOYA,DE LA MONTANA NORTE,CIRCUNVALACION JIMENEZ MZ 61 LT,49,,30384,ILNL682381MKROFPB5,AVRBAL19390317NLVA,26/01/1979,5550,2028,2038,2014,10
JULIO,CESAR,GARIBAY,MAESTAS,NL,VIEJA GEORGIA,DE LA MONTANA NORTE,AMPLIACION AZERBAIYAN KM,6.8,,76362,PCMY849713MDMKAX03,NQIWYN0786453520P3,12/11/1974,8613,2030,2040,2001,04
ZOE,,MERCADO,GAMBOA,CDMX,SAN ERNESTO DE LA MONTANA,DE LA MONTANA SUR,EJE VIAL BACA KM,65.6,,49505,BTVF677329HMYKYMV6,JFMLHK809309809SWS,16/07/1956,2168,2025,2035,2016,07
FIDEL,,GARRIDO,ALVA,PUE,VIEJA MARRUECOS,LOS BAJOS SUR,PASAJE VERACRUZ DE IGNACIO DE LA LLAVE MZ 82 LT,85,,16900,UOEC363968MPKLRMG0,FKYQOL76544584UGRA,05/08/1978,6317,2028,2038,2013,01
PABLO,,GAMEZ,GODINEZ,SIN,SAN ABRIL LOS BAJOS,LOS ALTOS SUR,PERIFERICO ECHEVERRIA,7103,C,59769,RXVL938266HUUMXHQ1,OBNWJL070906676A4W,23/06/2006,2588,2026,2036,2002,02
CITLALI,,BARRETO,GUARDADO,ZAC,VIEJA REPUBLICA DOMINICANA,DE LA MONTANA SUR,CALLEJON TAMEZ KM,62.7,G,33063,IDFW158431HVEGYJ36,IZMJWT19488831C4D1,18/03/1966,2425,2026,2036,2004,04
SANDRA,,FRIAS,SARABIA,HGO,NUEVA SENEGAL,LOS BAJOS SUR,CORREDOR CANO MZ 7 LT,69,,14464,EZRP053611HZBROUS0,FZWVAT32100111LJJG,07/12/1951,4510,2022,2032,2008,04
MARISOL,,MONTANO,AMADOR,TAMPS,NUEVA ARGELIA,LOS ALTOS SUR,CONTINUACION NORTE MESA MZ 4 LT,2,EDIFICIO 1 DEPTO 14,28618,UZKJ579256MSBSKWB1,ZLPOEO18067491X0VY,04/06/1948,2451,2028,2038,2005,10
VERONICA,,COVARRUBIAS,ESPINOSA,OAX,VIEJA SAN VICENTE Y LAS GRANADINAS,LOS ALTOS SUR,CALZADA NORTE ROYBAL,S/N,E,32073,UCVG018545HNMBBF59,FTXRVG816922048D4X,28/03/1950,1605,2021,2031,2006,06
CECILIA,,CASTANEDA,CENTENO,SIN,SAN MODESTO LOS ALTOS,DE LA MONTANA NORTE,CERRADA SUR VILLAREAL,3874-20,DEPTO 101,19085,WPIW392125HXYFAQ26,RUSDOX17828377YE1H,27/05/1934,4239,2030,2040,2019,05
LILIANA,,QUESADA,VALENZUELA,SIN,NUEVA KUWAIT,LOS ALTOS NORTE,VIADUCTO TLAXCALA,1345,PISO 11,83831,ZWOY329350MAHQVEH4,ZBYKZR10062225ZKCD,07/07/1991,0154,2022,2032,2023,04
ALICIA,,CASTRO,BALLESTEROS,TAB,VIEJA TIMOR-LESTE,DE LA MONTANA NORTE,PROLONGACION CAMARILLO,S/N,,93776,GCUQ254352HKVVZJT7,IDHHBQ96976921NYBQ,24/06/1995,0955,2022,2032,2014,11
LUIS,,PANTOJA,IRIZARRY,BCS,SAN PASCUAL LOS ALTOS,LOS ALTOS NORTE,VIADUCTO NORTE ARREDONDO KM,69.2,,31387,AXNX504686HHXOPSX4,WYRJLO01491302TMB9,15/01/1956,5821,2029,2039,2002,02
ANEL,,BAHENA,JUAREZ,MOR,SAN JACINTO LOS ALTOS,DE LA MONTANA SUR,BOULEVARD NORTE VELASQUEZ MZ 30 LT,46,,96190,FPAZ652519HSZPCF30,UKLTZQ90393914V238,02/09/1989,2819,2026,2036,2011,09
CECILIA,,ZAVALA,CARRILLO,PUE,SAN JAIME LOS ALTOS,DE LA MONTANA SUR,PEATONAL VAZQUEZ,4269-9,,56617,YBKP311218HWIEOS82,DYYKSJ32351374MN9B,17/04/1940,3265,2027,2037,2004,03
CITLALI,,ESCAMILLA,ESCOBEDO,COA,SAN RENATO DE LA MONTANA,LOS ALTOS SUR,PRIVADA NORTE MURO,4841,,32415,SDFK412605MZPKCT97,QWJAKW85019866XQ4A,06/01/2000,8434,2026,2036,2016,10
MARIA,EUGENIA,ARMAS,SANCHEZ,YUC,SAN VICTORIA LOS ALTOS,DE LA MONTANA SUR,RETORNO SUR GRANADOS,3140,,18575,DMPP515121MWWNAMN4,VUAESW9297126193WX,25/08/1937,4126,2025,2035,2000,04
CORNELIO,,BAEZA,DUENAS,AGS,SAN MARTIN DE LA MONTANA,LOS ALTOS NORTE,PERIFERICO LESOTHO KM,40.2,PISO 6,19087,RZKG213423MAFGMPL9,GYDKGB50447876ZA4G,23/08/1978,7364,2020,2030,2013,05
HORACIO,,MIRELES,SOSA,GRO,SAN JAVIER LOS ALTOS,DE LA MONTANA SUR,PEATONAL SUR GALLEGOS KM,78.0,DEPTO G,91897,CKSZ782380MEGWNQM4,QDVBXI023472703AN0,20/09/1957,3215,2025,2035,2014,09
OFELIA,,AGUILERA,CORONADO,CDMX,SAN VANESA DE LA MONTANA,DE LA MONTANA SUR,CALZADA MYANMAR,7733I,INT 414,54008,WIGI106154HVEVQRL3,TAABZJ79044648F9FN,29/03/1978,4059,2026,2036,2014,08
RUFINO,,ARELLANO,QUINTANA,GRO,VIEJA GUINEA ECUATORIAL,LOS ALTOS SUR,BOULEVARD VERACRUZ DE IGNACIO DE LA LLAVE,8173G,,11061,FMRK079084MBMUAP47,YBWKQE955679047L4R,04/02/2004,4131,2029,2039,2007,08
ARTURO,,ESPINOSA,ARAGON,VER,SAN LEONEL LOS BAJOS,LOS BAJOS SUR,CALZADA NORTE BELTRAN,S/N,PISO 13,80568,CCGS545417HWCBNXP1,AWYYGI72884247HROF,02/07/1954,3018,2030,2040,2006,11
INDIRA,,ESPINO,GIL,SON,SAN JAQUELINE LOS ALTOS,DE LA MONTANA SUR,CERRADA GASTELUM,9818B,EDIFICIO 11 DEPTO 11,90247,DYED347852HBWRNFL8,WQLIKH98305293UEI1,10/03/1985,8577,2020,2030,2015,02
ALTA,GRACIA,OTERO,BERRIOS,CHIS,NUEVA EMIRATOS ARABES UNIDOS,LOS BAJOS SUR,AVENIDA SUR PERALES,8658C,,90010,WDYO639936HWLFWTL2,YSQAKZ20312557IT9H,29/01/1964,6006,2030,2040,2001,02
DEBORA,,LONGORIA,VILLAREAL,GTO,SAN NICOLAS DE LA MONTANA,DE LA MONTANA SUR,CORREDOR BAJA CALIFORNIA,7550-44,DEPTO G,23184,QAXI689843HDMDEDB3,PNOOVI25977994O0S7,15/08/1962,4015,2027,2037,2021,07
ABEL,,VALDEZ,FARIAS,DGO,VIEJA LITUANIA,LOS BAJOS NORTE,CALZADA ALBANIA,4293,,56671,CPIJ990887HKTVEJN9,ACAYVY43412214NT57,14/12/1942,0426,2024,2034,2001,09
SALVADOR,,QUINONEZ,MERCADO,HGO,NUEVA COSTA RICA,DE LA MONTANA NORTE,CIRCUITO MATA KM,16.4,G,83967,OZYU384471HUJKJMZ4,WROIQB90612352FOS1,06/03/1959,6056,2024,2034,2006,12
RENE,,SOLIZ,PIZARRO,DGO,NUEVA MYANMAR,LOS ALTOS NORTE,BOULEVARD MONTENEGRO MZ 88 LT,36,,99526,ULQT475312HNUXSKX0,KUWESL24300398QH24,10/11/1934,7657,2022,2032,2013,04
NAYELI,,NUNEZ,CARBAJAL,COL,SAN DULCE DE LA MONTANA,LOS ALTOS NORTE,PROLONGACION SANTIAGO,9512-64,,23295,SFXN500223HYPEXPM2,VYEFSS85707615TLCY,16/08/1947,9256,2029,2039,2011,04
MARIA,DEL CARMEN,GIRON,ZEDILLO,CDMX,SAN MARIA CRISTINA DE LA MONTANA,LOS BAJOS NORTE,PRIVADA SUR SANTANA,960,,78909,YFAQ627428MRNOXWV6,DJHZJX29666603WINL,30/01/2003,4638,2026,2036,2005,02
SAMUEL,,LEIVA,URENA,CHIH,NUEVA KIRGUISTAN,DE LA MONTANA SUR,CERRADA TRINIDAD Y TABAGO,6712-77,,93994,GXEC759134HFQEVYI1,VOVHBU0252307942WT,31/10/2002,4999,2030,2040,2002,09
ANTONIA,,CARRILLO,ALVA,NL,VIEJA PARAGUAY,LOS ALTOS SUR,PROLONGACION PARAGUAY MZ 97 LT,37,,23434,TWLI000092MUATPLH4,BMCIQC68270762WLTQ,17/10/1987,3932,2030,2040,2017,03
MARCELA,,VEGA,APONTE,BC,SAN LEONOR LOS ALTOS,DE LA MONTANA SUR,RETORNO DURANGO MZ 75 LT,42,,63920,ACDB395470MYXIAVP4,TIAYEA222946705LVQ,22/05/1946,1175,2025,2035,2021,01
ALDO,,LOYA,DOMINGUEZ,ZAC,SAN MODESTO LOS BAJOS,LOS ALTOS NORTE,AMPLIACION SUDAFRICA,S/N,G,28249,OIAR482954MJIKYG03,QUTJQP41722484YPFP,16/01/1944,5090,2024,2034,2004,08
ISABEL,,MONTEMAYOR,GRACIA,MOR,SAN LORENZO LOS ALTOS,LOS BAJOS SUR,DIAGONAL AGUILAR,S/N,,50493,TUOD855739MVGROHK7,IATCOI15324540YZE7,10/04/1935,0324,2022,2032,2020,04
RENATO,,MARIN,MOJICA,NL,SAN MAYTE DE LA MONTANA,LOS ALTOS SUR,PERIFERICO JALISCO MZ 86 LT,95,,84594,ICMN086140HTVVFL55,FIDWOI24346446OJGD,07/10/1975,8277,2025,2035,2023,10
JULIO,,BATISTA,AMAYA,NAY,NUEVA REPUBLICA POPULAR DEMOCRATICA DE COREA,DE LA MONTANA NORTE,EJE VIAL LEAL,1244-62,,59091,RPSV283796HBSGWTB7,YNAAXV11189097HD5U,04/03/1959,0827,2029,2039,2022,05
VICTORIA,,BECERRA,BENITEZ,TAMPS,NUEVA BARBADOS,LOS BAJOS SUR,EJE VIAL MADERA KM,80.2,DEPTO 857,59370,YWRS771332HGNXMYR8,CEEMBL56040656CS2V,23/09/1978,4579,2022,2032,2002,04
ALFREDO,,ZAMUDIO,LEMUS,SLP,VIEJA FILIPINAS,LOS BAJOS SUR,RETORNO CORTES,1677-49,,38665,SQKK492199HETXJZE7,NYSIPU419838540OEE,01/04/1945,8793,2024,2034,2016,06
ISRAEL,,BERMUDEZ,MOTA,COA,SAN VICTORIA LOS ALTOS,LOS ALTOS SUR,CALLE EL SALVADOR,260-44,INT 478,85867,PGOE609004HKFXBYS5,SGQDCP70448637RO63,28/11/1966,3569,2027,2037,2023,12
PEDRO,,GRIEGO,ARCE,ZAC,SAN RUFINO DE LA MONTANA,LOS BAJOS SUR,PROLONGACION CHIAPAS MZ 16 LT,4,DEPTO 64,41303,FSHM202694MUVZJUL9,ITTMZW38328964DE75,09/07/1964,2645,2024,2034,2015,10
EUGENIO,,FRANCO,CASAS,MOR,NUEVA INDIA,LOS BAJOS SUR,VIADUCTO VERACRUZ DE IGNACIO DE LA LLAVE KM,90.7,,25387,OQYU021199MHZBMTT3,HGWNVM61071898MM8H,02/02/1996,2375,2027,2037,2016,06
ISAAC,,DE JESUS,CORNEJO,VER,SAN JOSEFINA DE LA MONTANA,LOS ALTOS SUR,CALZADA NUEVO LEON,6303-34,,88238,QWZD356766MVDJBG83,LMCDYO60605789DHAJ,04/04/1951,8716,2022,2032,2011,05
ADALBERTO,,LUGO,CANALES,JAL,SAN GUSTAVO LOS BAJOS,LOS BAJOS NORTE,RETORNO ZACATECAS,S/N,,71912,UTNV316037HUXZJJ74,BYZASD09804365SF2V,31/05/1944,4892,2025,2035,2015,02
ADAN,,ESPINAL,GRIEGO,MIC,NUEVA MALASIA,DE LA MONTANA NORTE,CALLEJON SUR BARRETO MZ 80 LT,92,,11164,FQHP801296MRQEBXO7,IPASYH3939768891DN,10/04/1991,2097,2025,2035,2009,09
ABRAHAM,,VALVERDE,ECHEVERRIA,CAMP,NUEVA TAYIKISTAN,DE LA MONTANA NORTE,AVENIDA SOLORZANO KM,56.9,,56939,ATXU534829HYDVQJ61,SLZAGL36989408RMDU,27/05/1951,6649,2020,2030,2007,04
MARCELA,,SEPULVEDA,VENEGAS,AGS,VIEJA NIGER,LOS ALTOS NORTE,DIAGONAL ISRAEL,S/N,,63589,ETEE259588HNROFFY9,KGZLYM484913209MKF,02/04/1996,1161,2020,2030,2017,07
DELIA,,ZAMBRANO,ARENAS,CHIS,VIEJA BAHREIN,LOS BAJOS SUR,BOULEVARD SUR AGUILERA MZ 29 LT,26,,83139,EBNO600988HEIJVTS1,HWGBOT92922684FYNF,05/04/1971,1435,2029,2039,2012,04
BLANCA,,PORTILLO,GONZALES,SLP,SAN MANUEL LOS BAJOS,LOS BAJOS SUR,PROLONGACION QUERETARO,S/N,,28553,JVZO651928MAADNRW9,QNHXBV28204651EWOK,15/08/1937,5557,2020,2030,2022,11
GUILLERMO,,TELLO,LOPEZ,OAX,SAN VIOLETA LOS ALTOS,LOS BAJOS SUR,DIAGONAL OAXACA,8512D,,29440,LOGY086380MQTCODY1,DLTPOX50917035T66J,05/09/1982,6443,2025,2035,2010,11
FIDEL,,ZAVALA,ANGULO,QRO,VIEJA CANADA,LOS BAJOS NORTE,CERRADA LOPEZ,S/N,DEPTO 605,33125,CZIW944040MWOARD64,SALPAG90858362ZX4C,28/04/1940,0454,2029,2039,2015,04
TRINIDAD,,SOLANO,REGALADO,YUC,VIEJA ANDORRA,LOS BAJOS SUR,EJE VIAL GRACIA,9477-31,,40884,PMOY872926HYDREZU7,EJPQUZ98136370B7T1,15/10/1948,8863,2021,2031,2019,11
INES,,GARCIA,CANDELARIA,JAL,SAN ANTONIO LOS BAJOS,LOS ALTOS NORTE,CERRADA BARRIENTOS,9668C,,51389,ISZP559714MFTJAYT8,YZZONI63326941O1TS,26/04/1954,5916,2028,2038,2006,12
NANCY,,GUTIERREZ,GRACIA,GTO,NUEVA BELICE,LOS BAJOS NORTE,AMPLIACION CHIAPAS KM,83.9,DEPTO 239,90038,OSFU791421HGHEOZ46,GTFCEW0422589482VB,18/06/1944,8359,2020,2030,2018,04
PAULINA,,PULIDO,HEREDIA,NAY,SAN PILAR DE LA MONTANA,LOS BAJOS NORTE,CIRCUNVALACION SUR VELA,S/N,PISO 3,85359,HBNJ956609HXPPPWR0,JBNRJN79499699A4J0,19/08/2003,8842,2028,2038,2006,02
EUGENIA,,CORDOVA,SOLIZ,MOR,SAN OLGA DE LA MONTANA,LOS ALTOS NORTE,EJE VIAL ACUNA,7674A,,55162,AKUH684771HCESNCH1,XEAQTK063953257D5E,01/06/1965,1481,2027,2037,2002,12
